id_ordem,mes,produto,maquina,turno,quantidade_pecas,tempo_setup_min,horas_maquina_previstas,prioridade,materia_prima_ok,operadores_alocados,taxa_refugo_pct,paradas_manutencao_mes,dias_ate_prazo,status_prazo
OP-00001,2,Suporte,Torno-03,Noite,1196,38.0,48.93,Média,Sim,1,5.65,3,5,Atrasado
OP-00002,10,Carcaça,Torno-03,Manhã,1770,147.0,55.83,Média,Sim,1,6.17,4,12,Atrasado
OP-00003,8,Suporte,CNC-01,Tarde,4311,178.0,75.46,Urgente,Sim,1,2.83,3,20,No_Prazo
OP-00004,6,Flange,CNC-01,Manhã,558,74.0,9.48,Baixa,Sim,3,1.71,4,22,No_Prazo
OP-00005,6,Flange,Torno-03,Manhã,587,158.0,12.94,Baixa,Sim,1,2.15,3,45,Adiantado
OP-00006,11,Eixo,Torno-03,Tarde,1545,141.0,34.18,Média,Não,2,3.44,4,17,Atrasado
OP-00007,2,Eixo,Torno-03,Manhã,3035,165.0,46.94,Baixa,Não,3,5.24,4,23,Atrasado
OP-00008,9,Suporte,CNC-01,Tarde,4043,85.0,175.41,Alta,Sim,5,1.91,4,4,Atrasado
OP-00009,3,Engrenagem,Torno-03,Tarde,2834,32.0,60.38,Média,Sim,1,6.43,3,6,Atrasado
OP-00010,2,Engrenagem,CNC-01,Manhã,2492,35.0,104.89,Alta,Sim,5,2.37,0,23,Adiantado
OP-00011,7,Eixo,CNC-01,Tarde,4361,141.0,213.42,Alta,Sim,4,6.57,5,17,Atrasado
OP-00012,12,Suporte,Torno-03,Tarde,899,157.0,20.93,Média,Sim,1,7.43,1,31,No_Prazo
OP-00013,9,Suporte,Fresadora-01,Noite,4513,90.0,220.28,Alta,Sim,1,1.73,4,39,No_Prazo
OP-00014,10,Flange,Fresadora-01,Manhã,1597,25.0,28.18,Baixa,Sim,6,7.38,3,5,No_Prazo
OP-00015,9,Flange,Mandrilhadora-A,Noite,1416,26.0,50.83,Média,Sim,3,5.79,3,10,No_Prazo
OP-00016,10,Engrenagem,Mandrilhadora-A,Noite,4770,114.0,236.82,Alta,Sim,6,7.15,2,27,No_Prazo
OP-00017,7,Eixo,CNC-02,Tarde,3247,167.0,137.46,Média,Sim,4,3.1,2,7,Atrasado
OP-00018,2,Engrenagem,Fresadora-01,Manhã,2188,81.0,41.98,Baixa,Sim,1,6.98,0,16,No_Prazo
OP-00019,11,Suporte,CNC-01,Tarde,1684,122.0,34.17,Média,Sim,5,4.08,1,33,Adiantado
OP-00020,6,Suporte,Mandrilhadora-A,Noite,2235,104.0,45.81,Média,Sim,3,1.92,0,4,Atrasado
OP-00021,7,Eixo,CNC-02,Manhã,3968,162.0,189.35,Alta,Sim,3,7.97,5,29,No_Prazo
OP-00022,5,Eixo,Fresadora-01,Noite,807,152.0,15.99,Média,Sim,2,7.61,5,7,Atrasado
OP-00023,3,Eixo,Mandrilhadora-A,Noite,913,48.0,27.74,Baixa,Sim,3,1.44,0,35,Adiantado
OP-00024,12,Carcaça,Fresadora-01,Tarde,1557,127.0,37.36,Urgente,Sim,6,3.92,5,33,Adiantado
OP-00025,10,Flange,Mandrilhadora-A,Tarde,2436,155.0,59.56,Baixa,Sim,2,7.9,4,5,Atrasado
OP-00026,8,Suporte,CNC-01,Tarde,4082,168.0,107.47,Urgente,Sim,4,4.61,1,26,No_Prazo
OP-00027,5,Flange,CNC-01,Noite,1093,112.0,26.02,Alta,Sim,1,4.23,0,23,Adiantado
OP-00028,10,Suporte,Fresadora-01,Noite,3941,44.0,133.98,Alta,Sim,5,1.97,3,44,Adiantado
OP-00029,7,Flange,Torno-03,Manhã,4542,107.0,122.72,Média,Sim,6,3.65,0,4,Atrasado
OP-00030,6,Eixo,CNC-01,Manhã,2205,125.0,60.95,Alta,Sim,6,4.24,0,32,Adiantado
OP-00031,6,Carcaça,Fresadora-01,Manhã,4808,60.0,145.39,Urgente,Sim,5,5.86,0,26,No_Prazo
OP-00032,3,Suporte,CNC-01,Noite,4473,176.0,108.46,Alta,Sim,5,3.88,0,44,Adiantado
OP-00033,2,Suporte,Mandrilhadora-A,Manhã,3996,53.0,160.57,Alta,Sim,4,5.26,0,34,No_Prazo
OP-00034,7,Carcaça,CNC-01,Noite,1932,165.0,58.23,Média,Não,6,1.26,2,15,Atrasado
OP-00035,11,Eixo,Torno-03,Tarde,1538,85.0,46.71,Baixa,Sim,1,6.23,4,7,Atrasado
OP-00036,1,Engrenagem,Mandrilhadora-A,Manhã,4328,15.0,79.61,Urgente,Sim,2,0.52,1,28,No_Prazo
OP-00037,11,Flange,Torno-03,Noite,2235,105.0,25.11,Baixa,Sim,1,5.32,1,39,Adiantado
OP-00038,10,Eixo,Fresadora-01,Tarde,206,119.0,8.73,Média,Não,2,6.7,5,27,Atrasado
OP-00039,4,Flange,Fresadora-01,Manhã,3600,158.0,159.19,Média,Sim,2,6.25,2,27,Atrasado
OP-00040,8,Eixo,Mandrilhadora-A,Manhã,1768,104.0,34.74,Alta,Sim,3,1.6,0,25,Adiantado
OP-00041,2,Eixo,Torno-03,Manhã,4681,31.0,114.22,Alta,Sim,5,6.83,3,18,No_Prazo
OP-00042,10,Eixo,Mandrilhadora-A,Manhã,4282,168.0,104.14,Alta,Sim,6,1.09,3,41,Adiantado
OP-00043,9,Eixo,Torno-03,Manhã,566,108.0,21.15,Baixa,Não,4,1.0,2,10,Atrasado
OP-00044,5,Suporte,Mandrilhadora-A,Tarde,4511,60.0,78.89,Média,Sim,1,6.67,5,25,Atrasado
OP-00045,1,Flange,Fresadora-01,Manhã,4751,163.0,233.5,Baixa,Não,1,1.87,4,40,Atrasado
OP-00046,12,Flange,CNC-01,Manhã,3794,35.0,47.33,Urgente,Não,3,3.85,0,14,Atrasado
OP-00047,6,Engrenagem,Fresadora-01,Manhã,1413,31.0,69.17,Baixa,Sim,4,7.52,2,21,No_Prazo
